group,Armatus,Arrowhead,CaTCH,CHAC,CHDF,ClusterTAD,deDoc,DI,EAST,GMAP,HiCExplorer,HiCseg,IC-Finder,InsulationScore,Matryoshka,MrTADFinder,MSTD,OnTAD,Spectral,SpectralTAD,TADBD,TADbit,TADtree,TopDom
CTCF,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.724,1.0,1.0,1.0,1.0,0.897,1.0,0.759,1.0,1.0,0.172,1.0,1.0,1.0,1.0,1.0
H3K36me3,1.0,1.0,1.0,1.0,1.0,0.897,1.0,1.0,0.069,0.793,1.0,1.0,1.0,0.172,1.0,0.138,0.414,1.0,0.034,1.0,0.724,1.0,1.0,1.0
H3K4me3,0.966,0.966,1.0,1.0,1.0,1.0,0.966,1.0,0.276,0.966,1.0,1.0,1.0,0.241,1.0,0.138,0.345,1.0,0.0,1.0,0.31,1.0,1.0,1.0
H3K9me3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.897,1.0,0.897,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Housekeeping_genes,1.0,1.0,1.0,0.931,1.0,1.0,1.0,1.0,0.552,1.0,1.0,1.0,1.0,0.862,1.0,0.207,0.724,1.0,0.241,1.0,0.966,1.0,1.0,1.0
PolII,0.931,0.655,1.0,1.0,1.0,0.897,0.897,1.0,0.0,0.897,0.966,1.0,1.0,0.69,1.0,0.0,0.103,1.0,0.0,1.0,0.621,1.0,1.0,0.966
RAD21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.966,1.0,1.0,1.0,1.0,1.0,1.0,0.621,1.0,1.0,0.034,1.0,1.0,1.0,1.0,1.0
SINE,0.862,1.0,1.0,1.0,0.897,0.241,0.759,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.138,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.931
SMC3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.931,1.0,1.0,1.0,1.0,0.759,1.0,0.552,1.0,1.0,0.034,1.0,1.0,1.0,1.0,1.0
TSS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.034,1.0,1.0,1.0,1.0,0.345,1.0,0.586,1.0,1.0,0.034,1.0,0.793,1.0,1.0,1.0
