group,Armatus,Arrowhead,CaTCH,CHAC,CHDF,ClusterTAD,deDoc,DI,EAST,GMAP,HiCExplorer,HiCseg,IC-Finder,InsulationScore,Matryoshka,MrTADFinder,MSTD,OnTAD,Spectral,SpectralTAD,TADBD,TADbit,TADtree,TopDom
CTCF,0.251,0.331,0.228,0.395,0.278,0.319,0.343,0.373,0.256,0.285,0.391,0.328,0.339,0.273,0.272,0.213,0.287,0.375,0.189,0.309,0.292,0.359,0.282,0.38
H3K36me3,0.331,0.399,0.369,0.449,0.337,0.469,0.399,0.531,0.36,0.351,0.464,0.47,0.458,0.363,0.386,0.246,0.339,0.483,0.245,0.382,0.373,0.518,0.394,0.465
H3K4me3,0.335,0.417,0.397,0.513,0.35,0.503,0.41,0.556,0.386,0.409,0.459,0.502,0.456,0.374,0.388,0.267,0.356,0.477,0.245,0.409,0.385,0.556,0.39,0.456
H3K9me3,0.365,0.456,0.236,0.374,0.385,0.36,0.414,0.381,0.45,0.411,0.415,0.345,0.428,0.375,0.363,0.427,0.378,0.418,0.417,0.424,0.454,0.408,0.451,0.385
Housekeeping_genes,0.083,0.106,0.099,0.109,0.082,0.116,0.096,0.137,0.092,0.099,0.109,0.123,0.11,0.098,0.096,0.065,0.087,0.121,0.065,0.093,0.098,0.131,0.098,0.108
PolII,0.644,0.713,0.648,0.78,0.65,0.83,0.715,0.914,0.692,0.776,0.772,0.768,0.788,0.749,0.735,0.504,0.654,0.824,0.472,0.674,0.722,0.886,0.72,0.783
RAD21,0.153,0.209,0.139,0.268,0.179,0.201,0.227,0.236,0.161,0.172,0.256,0.198,0.216,0.173,0.171,0.124,0.178,0.248,0.116,0.206,0.18,0.222,0.175,0.25
SINE,4.54,5.364,3.698,5.197,4.48,5.146,5.034,5.676,4.616,5.281,5.37,5.151,5.357,5.427,4.924,4.352,4.957,5.62,4.076,4.838,5.501,5.645,5.143,5.314
SMC3,0.142,0.192,0.124,0.241,0.167,0.185,0.211,0.214,0.151,0.158,0.234,0.176,0.198,0.16,0.156,0.114,0.157,0.229,0.107,0.187,0.17,0.198,0.165,0.232
TSS,0.336,0.416,0.37,0.501,0.342,0.488,0.404,0.51,0.307,0.418,0.461,0.487,0.444,0.364,0.368,0.295,0.394,0.453,0.244,0.386,0.35,0.52,0.365,0.446
