group,Armatus,Arrowhead,CaTCH,CHAC,CHDF,ClusterTAD,deDoc,DI,EAST,GMAP,HiCExplorer,HiCseg,IC-Finder,InsulationScore,Matryoshka,MrTADFinder,MSTD,OnTAD,Spectral,SpectralTAD,TADBD,TADbit,TADtree,TopDom
CTCF,0.316,0.607,0.547,0.871,0.477,0.513,0.606,0.642,0.29,0.43,0.694,0.667,0.53,0.272,0.363,0.121,0.489,0.601,0.039,0.542,0.211,0.596,0.321,0.671
H3K36me3,0.305,0.389,0.704,0.525,0.361,0.45,0.312,0.628,0.107,0.289,0.45,0.698,0.503,0.252,0.382,-0.019,0.193,0.426,0.067,0.423,0.149,0.589,0.323,0.443
H3K4me3,0.283,0.37,0.729,0.661,0.35,0.493,0.291,0.614,0.231,0.393,0.37,0.698,0.422,0.199,0.345,0.002,0.195,0.372,-0.062,0.408,0.137,0.64,0.254,0.351
H3K9me3,-0.267,-0.354,-0.657,-0.407,-0.224,-0.472,-0.282,-0.436,-0.075,-0.349,-0.363,-0.403,-0.284,-0.327,-0.293,-0.134,-0.487,-0.341,0.008,-0.228,-0.122,-0.375,-0.122,-0.38
Housekeeping_genes,0.322,0.471,0.811,0.5,0.307,0.476,0.241,0.652,0.258,0.46,0.33,0.751,0.406,0.392,0.392,0.045,0.241,0.416,0.106,0.359,0.189,0.63,0.295,0.309
PolII,0.189,0.218,0.52,0.356,0.263,0.297,0.181,0.437,0.108,0.29,0.224,0.415,0.305,0.279,0.274,-0.04,0.113,0.271,-0.043,0.219,0.12,0.422,0.194,0.235
RAD21,0.387,0.693,0.566,1.06,0.604,0.596,0.771,0.712,0.37,0.431,0.85,0.687,0.633,0.337,0.458,0.118,0.566,0.715,0.05,0.667,0.246,0.655,0.383,0.828
SINE,0.036,0.183,0.125,0.13,0.034,0.03,0.033,0.144,0.037,0.157,0.08,0.173,0.094,0.176,0.073,0.002,0.109,0.115,-0.002,0.055,0.115,0.163,0.075,0.06
SMC3,0.381,0.644,0.469,0.998,0.611,0.541,0.743,0.644,0.363,0.379,0.802,0.593,0.595,0.28,0.428,0.096,0.461,0.687,0.043,0.632,0.244,0.57,0.379,0.791
TSS,0.357,0.555,0.811,0.783,0.41,0.575,0.418,0.719,0.06,0.566,0.531,0.808,0.519,0.326,0.408,0.16,0.498,0.458,0.044,0.489,0.161,0.745,0.291,0.503
