group,Armatus,Arrowhead,CaTCH,CHAC,CHDF,ClusterTAD,deDoc,DI,EAST,GMAP,HiCExplorer,HiCseg,IC-Finder,InsulationScore,Matryoshka,MrTADFinder,MSTD,OnTAD,Spectral,SpectralTAD,TADBD,TADbit,TADtree,TopDom
CTCF,0.693,0.908,0.482,0.908,0.731,0.777,0.856,0.918,0.819,0.846,0.94,0.87,0.888,0.826,0.738,0.7,0.851,0.924,0.663,0.832,0.862,0.91,0.803,0.895
H3K36me3,0.308,0.44,0.301,0.467,0.336,0.469,0.433,0.528,0.402,0.414,0.488,0.503,0.474,0.428,0.356,0.292,0.378,0.505,0.303,0.397,0.434,0.528,0.417,0.469
H3K4me3,0.349,0.51,0.339,0.548,0.381,0.531,0.498,0.596,0.474,0.48,0.557,0.574,0.533,0.483,0.401,0.346,0.448,0.575,0.359,0.462,0.497,0.594,0.468,0.532
H3K9me3,0.628,0.745,0.396,0.735,0.645,0.687,0.722,0.745,0.705,0.697,0.768,0.704,0.737,0.679,0.637,0.702,0.687,0.756,0.647,0.701,0.71,0.761,0.714,0.728
Housekeeping_genes,0.154,0.227,0.164,0.246,0.159,0.241,0.216,0.287,0.198,0.212,0.255,0.276,0.237,0.206,0.183,0.128,0.192,0.261,0.129,0.198,0.214,0.274,0.202,0.24
PolII,0.858,0.909,0.486,0.885,0.847,0.805,0.874,0.907,0.878,0.881,0.904,0.868,0.9,0.879,0.871,0.855,0.87,0.908,0.784,0.879,0.899,0.914,0.881,0.879
RAD21,0.568,0.83,0.446,0.854,0.622,0.71,0.786,0.856,0.726,0.738,0.892,0.802,0.817,0.717,0.626,0.565,0.764,0.865,0.546,0.752,0.768,0.842,0.701,0.839
SINE,0.997,0.999,0.567,0.985,0.976,0.979,0.994,0.994,0.99,0.994,0.996,0.986,0.999,0.969,0.996,0.998,0.989,0.998,0.918,0.998,0.999,0.998,0.996,0.994
SMC3,0.528,0.794,0.427,0.824,0.588,0.689,0.758,0.826,0.692,0.702,0.868,0.769,0.787,0.676,0.588,0.527,0.724,0.839,0.512,0.719,0.735,0.812,0.669,0.815
TSS,0.499,0.645,0.415,0.67,0.511,0.677,0.634,0.731,0.608,0.626,0.696,0.703,0.667,0.638,0.542,0.506,0.607,0.71,0.475,0.599,0.628,0.729,0.598,0.672
