chr1	4894	4950	1
chr1	1	4	1
chr1	1890	2004	1
chr1	2371	2402	1
chr1	7	8	1
chr1	122	160	1
chr1	2975	2976	1
chr1	3658	3693	1
chr1	194	240	1
chr1	2925	2952	1
chr1	3570	3596	1
chr1	258	271	1
chr1	2971	2974	1
chr1	318	337	1
chr1	420	486	1
chr1	2079	2080	1
chr1	802	830	1
chr1	1207	1266	1
chr1	2874	2877	1
chr1	2926	2957	1
chr1	739	758	1
chr1	1207	1253	1
chr1	739	805	1
chr1	831	872	1
chr1	4532	4575	1
chr1	4454	4510	1
chr1	4161	4200	1
chr1	1889	2004	1
chr1	3134	3200	1
chr1	2248	2290	1
chr1	2403	2419	1
chr1	2213	2247	1
chr1	4420	4453	1
chr1	4130	4161	1
chr1	4952	4984	1
chr1	2085	2086	1
chr1	2964	2995	1
chr1	2877	2878	1
chr1	682	705	1
chr1	4636	4689	1
chr1	1111	1179	1
chr1	4162	4199	1
chr1	4454	4531	1
chr1	317	337	1
chr1	1267	1344	1
chr1	2927	2950	1
chr1	4805	4892	1
chr1	275	316	1
chr1	244	313	1
chr1	5	6	1
chr1	2851	2854	1
chr1	161	193	1
chr1	194	243	1
chr1	432	487	1
chr1	3201	3235	1
chr1	4162	4200	1
chr1	4091	4132	1
chr1	4200	4237	1
chr1	346	401	1
chr1	6	7	1
chr1	3943	4010	1
chr1	38	79	1
chr1	2996	3040	1
chr1	2081	2084	1
chr1	4061	4127	1
chr1	4161	4199	1
chr1	2925	2926	1
chr1	2950	2951	1
chr1	3133	3200	1
chr1	194	237	1
chr1	866	903	1
chr1	2	3	1
chr1	959	1017	1
chr1	2924	2949	1
chr1	2951	2952	1
chr1	805	830	1
chr1	488	536	1
chr1	4454	4511	1
chr1	2891	2918	1
chr1	2924	2925	1
chr1	759	804	1
chr1	1259	1344	1
chr1	2874	2875	1
chr1	2877	2882	1
chr1	2038	2085	1
chr1	4513	4532	1
chr1	2887	2918	1
chr1	4893	4951	1
chr1	38	75	1
chr1	4805	4893	1
chr1	76	121	1
chr1	2886	2889	1
chr1	3102	3126	1
chr1	3196	3228	1
chr1	432	486	1
chr1	658	680	1
chr1	338	420	1
chr1	194	242	1
chr1	2876	2877	1
chr1	4091	4119	1
chr1	2889	2890	1
chr1	4454	4512	1
chr1	1867	1889	1
chr1	2873	2874	1
chr1	1366	1420	1
chr1	314	337	1
chr1	2971	2990	1
chr1	238	257	1
chr1	2952	2957	1
chr1	3236	3256	1
chr1	270	271	1
chr1	4951	4984	1
chr1	937	958	1
chr1	1266	1344	1
chr1	2416	2419	1
chr1	338	419	1
chr1	658	681	1
chr1	739	767	1
chr1	2990	2991	1
chr1	3694	3727	1
chr1	831	865	1
